,GNN_Agent,EqualWeight,SPY
2023-04-06,883681.0495215362,1695170.7338394132,1000000.0
2023-04-10,883821.3163547937,1701090.0514184404,1000000.0
2023-04-11,883961.6054526279,1705633.0611449315,1000000.0
2023-04-12,884101.9168185729,1701160.4112236202,1000000.0
2023-04-13,884242.2504561632,1719734.0679986665,1000000.0
2023-04-14,884382.6063689342,1723503.8453461977,1000000.0
2023-04-17,884522.9845604213,1725182.7758268516,1000000.0
2023-04-18,884663.3850341612,1726247.7916902683,1000000.0
2023-04-19,884803.8077936905,1724764.6484044718,1000000.0
2023-04-20,884944.2528425468,1715883.6154213597,1000000.0
2023-04-21,885084.7201842678,1715674.753796046,1000000.0
2023-04-24,885225.2098223924,1719474.6719292765,1000000.0
2023-04-25,885365.7217604595,1690949.5364828347,1000000.0
2023-04-26,885506.2560020088,1676997.366175567,1000000.0
2023-04-27,885646.8125505806,1693687.6383816497,1000000.0
2023-04-28,885787.3914097158,1711594.28525622,1000000.0
2023-05-01,885927.9925829554,1712032.030478192,1000000.0
2023-05-02,886068.6160738417,1682279.497127181,1000000.0
2023-05-03,886209.2618859169,1662019.6571966999,1000000.0
2023-05-04,886349.9300227243,1648909.3435947753,1000000.0
2023-05-05,886490.6204878073,1679623.2982141506,1000000.0
2023-05-08,886631.3332847102,1682044.0957213126,1000000.0
2023-05-09,886772.0684169778,1677924.6899864683,1000000.0
2023-05-10,886912.8258881551,1677294.684218798,1000000.0
2023-05-11,887053.6057017882,1669465.4856061942,1000000.0
2023-05-12,887194.4078614236,1664842.1356287801,1000000.0
2023-05-15,887335.232370608,1674368.4671128755,1000000.0
2023-05-16,887476.0792328891,1658075.3560427942,1000000.0
2023-05-17,887616.948451815,1682983.3284856768,1000000.0
2023-05-18,887757.8400309345,1695398.9290144779,1000000.0
2023-05-19,887898.7539737966,1695701.879750066,1000000.0
2023-05-22,888039.6902839512,1693387.2745573132,1000000.0
2023-05-23,888180.6489649487,1684772.6382384456,1000000.0
2023-05-24,888321.6300203401,1675479.2272793634,1000000.0
2023-05-25,888462.6334536767,1686054.044822015,1000000.0
2023-05-26,888603.6592685108,1706094.8547969887,1000000.0
2023-05-30,888744.7074683947,1700489.164577562,1000000.0
2023-05-31,888885.7780568817,1688561.1301339732,1000000.0
2023-06-01,889026.8710375257,1701401.5669973614,1000000.0
2023-06-02,889167.986413881,1733255.7897768014,1000000.0
2023-06-05,889309.1241895022,1725589.2606416598,1000000.0
2023-06-06,889450.2843679452,1731405.3355446833,1000000.0
2023-06-07,889591.4669527656,1735901.6462748514,1000000.0
2023-06-08,889732.67194752,1745384.8027294998,1000000.0
2023-06-09,889873.8993557658,1749560.6859364943,1000000.0
2023-06-12,890015.1491810604,1761102.1993818667,1000000.0
2023-06-13,890156.4214269622,1768427.8163957237,1000000.0
2023-06-14,890297.7160970301,1770720.7307696308,1000000.0
2023-06-15,890439.0331948234,1790069.7092269463,1000000.0
2023-06-16,890580.372723902,1786963.8532800162,1000000.0
2023-06-20,890721.7346878266,1767959.2827534764,1000000.0
2023-06-21,890863.119090158,1760993.245287248,1000000.0
2023-06-22,891004.5259344581,1756522.6357257895,1000000.0
2023-06-23,891145.9552242891,1746053.6598399137,1000000.0
2023-06-26,891287.4069632136,1745161.5210095898,1000000.0
2023-06-27,891428.8811547952,1757705.137747126,1000000.0
2023-06-28,891570.3778025975,1756215.7662127032,1000000.0
2023-06-29,891711.8969101852,1769150.230277817,1000000.0
2023-06-30,891853.4384811234,1785359.4397255378,1000000.0
2023-07-03,891995.0025189776,1787735.7960166945,1000000.0
2023-07-05,892136.5890273141,1783064.3838116606,1000000.0
2023-07-06,892278.1980096995,1759225.3124287995,1000000.0
2023-07-07,892419.829469701,1763223.5268344455,1000000.0
2023-07-10,892561.4834108867,1772482.3213533694,1000000.0
2023-07-11,892703.159836825,1791489.714006746,1000000.0
2023-07-12,892844.8587510849,1804709.5855823418,1000000.0
2023-07-13,892986.580157236,1814337.4035905176,1000000.0
2023-07-14,893128.3240588483,1809098.2841607525,1000000.0
2023-07-17,893270.0904594926,1813740.244077705,1000000.0
2023-07-18,893411.8793627402,1832477.7544340144,1000000.0
2023-07-19,893553.690772163,1842722.4603509214,1000000.0
2023-07-20,893695.5246913332,1848699.187152834,1000000.0
2023-07-21,893837.3811238239,1859138.008315637,1000000.0
2023-07-24,893979.2600732087,1871865.6446418592,1000000.0
2023-07-25,894121.1615430616,1872796.1522844608,1000000.0
2023-07-26,894263.0855369575,1872477.180674032,1000000.0
2023-07-27,894405.0320584713,1857034.881437699,1000000.0
2023-07-28,894547.0011111791,1871697.2806673003,1000000.0
2023-07-31,894688.9926986572,1877778.3995295619,1000000.0
2023-08-01,894831.0068244825,1874193.1041175753,1000000.0
2023-08-02,894973.0434922324,1852245.9826635215,1000000.0
2023-08-03,895115.1027054853,1853863.8082130905,1000000.0
2023-08-04,895257.1844678196,1850868.0677675728,1000000.0
2023-08-07,895399.2887828146,1866626.9358451213,1000000.0
2023-08-08,895541.4156540501,1862368.4556223734,1000000.0
2023-08-09,895683.5650851064,1854577.6119663923,1000000.0
2023-08-10,895825.7370795644,1856221.7986160894,1000000.0
2023-08-11,895967.9316410057,1864261.0479094281,1000000.0
2023-08-14,896110.1487730122,1871584.5835158883,1000000.0
2023-08-15,896252.3884791668,1848025.9343739687,1000000.0
2023-08-16,896394.6507630525,1833815.6377682227,1000000.0
2023-08-17,896536.935628253,1829609.2189110625,1000000.0
2023-08-18,896679.2430783528,1833124.494277204,1000000.0
2023-08-21,896821.5731169367,1835987.5048861483,1000000.0
2023-08-22,896963.9257475904,1822522.8831228595,1000000.0
2023-08-23,897106.3009738995,1835573.6339755177,1000000.0
2023-08-24,897248.698799451,1814038.7286024427,1000000.0
2023-08-25,897391.119227832,1827013.9626846341,1000000.0
2023-08-28,897533.5622626301,1836518.704567929,1000000.0
2023-08-29,897676.0279074338,1855122.9887447054,1000000.0
2023-08-30,897818.5161658319,1859363.3273312699,1000000.0
2023-08-31,897961.0270414139,1858115.0096161065,1000000.0
2023-09-01,898103.5605377697,1871870.1364136932,1000000.0
2023-09-05,889378.8095733073,1865718.2310208257,1000000.0
2023-09-06,883696.7362626579,1857773.860424011,1000000.0
2023-09-07,889494.7958371089,1857747.444676168,1000000.0
2023-09-08,892436.4276562051,1865052.8804850734,1000000.0
2023-09-11,897760.4191119808,1867906.8563958576,1000000.0
2023-09-12,896191.1336101373,1870423.0319083415,1000000.0
2023-09-13,897157.5036769282,1874351.8894831254,1000000.0
2023-09-14,902568.0524151528,1889074.381637569,1000000.0
2023-09-15,892611.9104224084,1865717.987153413,1000000.0
2023-09-18,893383.541965678,1868246.0090496703,1000000.0
2023-09-19,892573.0797350121,1857975.6853854866,1000000.0
2023-09-20,892691.0294910689,1843391.6642111198,1000000.0
2023-09-21,881529.5072604133,1813887.7645560575,1000000.0
2023-09-22,880824.9180328095,1808588.8507494207,1000000.0
2023-09-25,879729.5111448488,1815171.3425614014,1000000.0
2023-09-26,872147.0611432673,1792526.6527920994,1000000.0
2023-09-27,865811.9036467834,1798091.3876842067,1000000.0
2023-09-28,866764.9021552847,1809794.2524594804,1000000.0
2023-09-29,862962.0058948004,1800172.8418115696,1000000.0
2023-10-02,859702.4350943188,1791857.4987144032,1000000.0
2023-10-03,853669.5164519483,1769169.9407469644,1000000.0
2023-10-04,855294.4780181397,1767164.26228897,1000000.0
2023-10-05,845733.0506900831,1764154.3896743422,1000000.0
2023-10-06,843677.1158590881,1780137.4098231767,1000000.0
2023-10-09,845099.9532323653,1796086.345814308,1000000.0
2023-10-10,850431.918786783,1805756.7811154295,1000000.0
2023-10-11,847159.120499362,1804843.318776577,1000000.0
2023-10-12,843061.0360124613,1798696.0331794482,1000000.0
2023-10-13,846160.7031742743,1800816.574866875,1000000.0
2023-10-16,854002.826035439,1819571.6864766264,1000000.0
2023-10-17,855615.7716485525,1821972.8899708178,1000000.0
2023-10-18,853522.1929152878,1809585.96496337,1000000.0
2023-10-19,851199.6129106814,1800589.928534114,1000000.0
2023-10-20,848769.3054559008,1778213.5806687435,1000000.0
2023-10-23,846491.8044996692,1767906.659072953,1000000.0
2023-10-24,853651.7869591959,1768875.563260149,1000000.0
2023-10-25,855115.6701893305,1752465.8800393497,1000000.0
2023-10-26,846175.3140493381,1737404.918010725,1000000.0
2023-10-27,834857.4985911184,1721050.9894010006,1000000.0
2023-10-30,845647.6128235804,1741429.3442454517,1000000.0
2023-10-31,849282.5839267764,1754951.988714749,1000000.0
2023-11-01,851043.7665903007,1766717.163030057,1000000.0
2023-11-02,858230.850827287,1806228.0836371805,1000000.0
2023-11-03,861014.441803596,1819026.5257632027,1000000.0
2023-11-06,863680.0872706344,1819566.8237059298,1000000.0
2023-11-07,863427.1748662262,1816248.6872809501,1000000.0
2023-11-08,859956.2901333245,1814508.382067036,1000000.0
2023-11-09,850383.1677830757,1796510.089423802,1000000.0
2023-11-10,854559.1057038521,1820978.025557743,1000000.0
2023-11-13,857058.2527261936,1822614.2143740489,1000000.0
2023-11-14,860734.409301995,1854571.7797220934,1000000.0
2023-11-15,864958.7374359297,1858801.4944244528,1000000.0
2023-11-16,855363.5562337902,1850029.835906035,1000000.0
2023-11-17,854838.9900172598,1859669.8742004724,1000000.0
2023-11-20,855046.2807464032,1869367.2060925618,1000000.0
2023-11-21,857625.5093583523,1865005.5808612625,1000000.0
2023-11-22,860654.9444476517,1872334.747720237,1000000.0
2023-11-24,865086.783520824,1876640.6431863043,1000000.0
2023-11-27,862614.9237909665,1871620.5345018136,1000000.0
2023-11-28,863528.8209552941,1870480.9993959647,1000000.0
2023-11-29,859560.2953821184,1875385.6836054176,1000000.0
2023-11-30,868431.1792678057,1889790.8229957775,1000000.0
2023-12-01,871698.3229283077,1900386.8179369394,1000000.0
2023-12-04,872530.6139501894,1892840.0844032238,1000000.0
2023-12-05,871750.4243549289,1883236.0595342745,1000000.0
2023-12-06,867102.7554998776,1868950.8494199058,1000000.0
2023-12-07,865424.0070162248,1876403.7713138212,1000000.0
2023-12-08,862734.7516083327,1886051.4558945636,1000000.0
2023-12-11,868505.5067506561,1901607.4041592658,1000000.0
2023-12-12,869849.2390016003,1901809.881759358,1000000.0
2023-12-13,879388.9613087316,1928658.3921557202,1000000.0
2023-12-14,870294.5486783787,1945120.9278587936,1000000.0
2023-12-15,868951.916830874,1947508.5930054754,1000000.0
2023-12-18,878814.0239135156,1958619.8178394437,1000000.0
2023-12-19,883025.8484411207,1974912.6779579942,1000000.0
2023-12-20,868842.3205581574,1947140.6120489219,1000000.0
2023-12-21,875820.5892364781,1964107.1209091193,1000000.0
2023-12-22,882375.397831782,1965234.5192541922,1000000.0
2023-12-26,883145.6470562792,1976195.2096187922,1000000.0
2023-12-27,886098.284200472,1978207.9849942573,1000000.0
2023-12-28,886356.5782471681,1975284.6970257943,1000000.0
2023-12-29,887427.2356363047,1972109.2952927712,1000000.0
2024-01-02,900955.8941497223,1974580.5880860917,1000000.0
2024-01-03,900303.115960419,1970191.959218968,1000000.0
2024-01-04,897957.1434892802,1962364.5114821822,1000000.0
2024-01-05,897321.0556014831,1964963.6798768651,1000000.0
2024-01-08,902039.1082274299,1981190.8745355904,1000000.0
2024-01-09,902724.7999528225,1971168.3982174878,1000000.0
2024-01-10,906006.5323826892,1972173.2416037873,1000000.0
2024-01-11,903151.4913204424,1975133.5688092017,1000000.0
2024-01-12,907185.6283164981,1979200.1767751304,1000000.0
2024-01-16,901546.90214451,1965376.7954507566,1000000.0
2024-01-17,900202.4719016684,1955772.9640991557,1000000.0
2024-01-18,904497.5544451477,1964734.1427887462,1000000.0
2024-01-19,906875.883807483,1989987.8377300794,1000000.0
